match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,agency
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,0.5,1.95,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,1.5,3.6,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,2.5,6,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,3.5,8.5,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,0.5,1.67,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,1.5,2.75,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,2.5,4.4,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,3.5,6.5,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,0.5,1.67,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,1.5,2.75,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,2.5,4.4,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,3.5,6.5,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Sam Heazlett,Hobart Hurricanes,Sydney Sixers,0.5,1.98,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Sam Heazlett,Hobart Hurricanes,Sydney Sixers,1.5,3.8,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Sam Heazlett,Hobart Hurricanes,Sydney Sixers,2.5,6.5,Pointsbet
Hobart Hurricanes v Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Number of 6s,Sam Heazlett,Hobart Hurricanes,Sydney Sixers,3.5,9,Pointsbet
