match,market,home_team,away_team,player_name,player_team,opposition_team,price
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Usman Khawaja,Brisbane Heat,Melbourne Stars,3.6
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,4.1
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Jack Wood,Brisbane Heat,Melbourne Stars,4.1
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Marnus Labuschagne,Brisbane Heat,Melbourne Stars,4.1
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Josh Brown,Brisbane Heat,Melbourne Stars,5.3
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Sam Billings,Brisbane Heat,Melbourne Stars,5.3
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Max Bryant,Brisbane Heat,Melbourne Stars,10.5
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Paul Walter,Brisbane Heat,Melbourne Stars,15
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Michael Neser,Brisbane Heat,Melbourne Stars,29
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Jack Wildermuth,Brisbane Heat,Melbourne Stars,34
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Will Prestwidge,Brisbane Heat,Melbourne Stars,46
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Xavier Bartlett,Brisbane Heat,Melbourne Stars,46
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Matthew Kuhnemann,Brisbane Heat,Melbourne Stars,101
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Mitchell Swepson,Brisbane Heat,Melbourne Stars,101
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Spencer Johnson,Brisbane Heat,Melbourne Stars,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Steve Smith,Sydney Sixers,Melbourne Renegades,3.3
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,James Vince,Sydney Sixers,Melbourne Renegades,4.3
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Josh Philippe,Sydney Sixers,Melbourne Renegades,4.25
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Kurtis Patterson,Sydney Sixers,Melbourne Renegades,4.3
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Daniel Hughes,Sydney Sixers,Melbourne Renegades,6
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Moises Henriques,Sydney Sixers,Melbourne Renegades,6
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Jordan Silk,Sydney Sixers,Melbourne Renegades,9.25
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Jack Edwards,Sydney Sixers,Melbourne Renegades,15
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Hayden Kerr,Sydney Sixers,Melbourne Renegades,26
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Tom Curran,Sydney Sixers,Melbourne Renegades,26
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Sean Abbott,Sydney Sixers,Melbourne Renegades,61
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Ben Dwarshuis,Sydney Sixers,Melbourne Renegades,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Izharulhaq Naveed,Sydney Sixers,Melbourne Renegades,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Jackson Bird,Sydney Sixers,Melbourne Renegades,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Stephen O'Keefe,Sydney Sixers,Melbourne Renegades,101
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Glenn Maxwell,Melbourne Stars,Brisbane Heat,3.4
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Marcus Stoinis,Melbourne Stars,Brisbane Heat,4.8
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Sam Harper,Melbourne Stars,Brisbane Heat,4.6
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Tom F Rogers,Melbourne Stars,Brisbane Heat,5.4
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Joe Burns,Melbourne Stars,Brisbane Heat,8.75
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Hilton Cartwright,Melbourne Stars,Brisbane Heat,10.5
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Jonathan Merlo,Melbourne Stars,Brisbane Heat,10.5
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Corey Rocchiccioli,Melbourne Stars,Brisbane Heat,34
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Liam Dawson,Melbourne Stars,Brisbane Heat,34
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Usama Mir,Melbourne Stars,Brisbane Heat,34
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Nathan Coulter-Nile,Melbourne Stars,Brisbane Heat,41
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Brody Couch,Melbourne Stars,Brisbane Heat,101
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Joel Paris,Melbourne Stars,Brisbane Heat,101
Brisbane Heat v Melbourne Stars,Top Team Runscorer,Brisbane Heat,Melbourne Stars,Olly Stone,Melbourne Stars,Brisbane Heat,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Joe Clarke,Melbourne Renegades,Sydney Sixers,3.75
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Jake Fraser-McGurk,Melbourne Renegades,Sydney Sixers,4.75
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Shaun Marsh,Melbourne Renegades,Sydney Sixers,4.3
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,5.5
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Mackenzie Harvey,Melbourne Renegades,Sydney Sixers,7.75
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Nic Maddinson,Melbourne Renegades,Sydney Sixers,7.75
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Jon Wells,Melbourne Renegades,Sydney Sixers,10.5
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Will Sutherland,Melbourne Renegades,Sydney Sixers,23
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Tom Rogers.,Melbourne Renegades,Sydney Sixers,81
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Adam Zampa,Melbourne Renegades,Sydney Sixers,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Kane Richardson,Melbourne Renegades,Sydney Sixers,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Mujeeb Ur-Rahman,Melbourne Renegades,Sydney Sixers,101
Sydney Sixers v Melbourne Renegades,Top Team Runscorer,Sydney Sixers,Melbourne Renegades,Peter Siddle,Melbourne Renegades,Sydney Sixers,101
