match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Sydney Sixers v Melbourne Renegades,Number of 4s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,0.5,1.21,TopSport
Sydney Sixers v Melbourne Renegades,Number of 6s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,0.5,1.82,TopSport
Sydney Sixers v Melbourne Renegades,Number of 4s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,1.5,1.5,TopSport
Sydney Sixers v Melbourne Renegades,Number of 6s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,1.5,3.15,TopSport
Sydney Sixers v Melbourne Renegades,Number of 4s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,2.5,1.92,TopSport
Sydney Sixers v Melbourne Renegades,Number of 6s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,2.5,5.75,TopSport
Sydney Sixers v Melbourne Renegades,Number of 4s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,3.5,2.5,TopSport
Sydney Sixers v Melbourne Renegades,Number of 6s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,3.5,8,TopSport
Sydney Sixers v Melbourne Renegades,Number of 4s,Sydney Sixers,Melbourne Renegades,Aaron Finch,Melbourne Renegades,Sydney Sixers,4.5,3.2,TopSport
Brisbane Heat v Melbourne Stars,Number of 4s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,0.5,1.09,TopSport
Brisbane Heat v Melbourne Stars,Number of 6s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,0.5,1.3,TopSport
Brisbane Heat v Melbourne Stars,Number of 4s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,1.5,1.46,TopSport
Brisbane Heat v Melbourne Stars,Number of 6s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,1.5,1.82,TopSport
Brisbane Heat v Melbourne Stars,Number of 4s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,2.5,1.7,TopSport
Brisbane Heat v Melbourne Stars,Number of 6s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,2.5,2.6,TopSport
Brisbane Heat v Melbourne Stars,Number of 4s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,3.5,2.16,TopSport
Brisbane Heat v Melbourne Stars,Number of 6s,Brisbane Heat,Melbourne Stars,Colin Munro,Brisbane Heat,Melbourne Stars,3.5,3.65,TopSport
